PinOut_1,PinOut_2,Voltage_1,Voltage_2,P_x,P_y,S1,dS1_dV,dPx_dV,dPy_dV,Mode_Locked,S1_MLd
0,0,0,0,61,32,0.3118,,,,0,#N/A
220,0,4.3137255,0,62,34,0.2917,0.0201,-1,-2,0,#N/A
220,1,4.3137255,0.0196078,61,45,0.1509,0.1408,1,-11,0,#N/A
220,2,4.3137255,0.0392157,63,36,0.2727,-0.1218,-2,9,0,#N/A
220,3,4.3137255,0.0588235,64,45,0.1743,0.0984,-1,-9,0,#N/A
220,4,4.3137255,0.0784314,57,36,0.2258,-0.0515,7,9,0,#N/A
220,5,4.3137255,0.0980392,69,41,0.2545,-0.0287,-12,-5,0,#N/A
220,6,4.3137255,0.1176471,56,39,0.1789,0.0756,13,2,0,#N/A
220,7,4.3137255,0.1372549,48,46,0.0213,0.1576,8,-7,0,#N/A
220,8,4.3137255,0.1568627,38,57,-0.2,0.2213,10,-11,0,#N/A
220,9,4.3137255,0.1764706,38,59,-0.2165,0.0165,0,-2,0,#N/A
220,10,4.3137255,0.1960784,34,64,-0.3061,0.0896,4,-5,0,#N/A
220,11,4.3137255,0.2156863,45,60,-0.1429,-0.1632,-11,4,0,#N/A
220,12,4.3137255,0.2352941,31,57,-0.2955,0.1526,14,3,0,#N/A
220,13,4.3137255,0.254902,31,67,-0.3673,0.0718,0,-10,0,#N/A
220,14,4.3137255,0.2745098,31,64,-0.3474,-0.0199,0,3,0,#N/A
220,15,4.3137255,0.2941176,51,50,0.0099,-0.3573,-20,14,0,#N/A
220,16,4.3137255,0.3137255,59,53,0.0536,-0.0437,-8,-3,0,#N/A
220,17,4.3137255,0.3333333,56,49,0.0667,-0.0131,3,4,1,0.0667
220,18,4.3137255,0.3529412,40,57,-0.1753,0.242,16,-8,0,#N/A
220,19,4.3137255,0.372549,42,54,-0.125,-0.0503,-2,3,0,#N/A
220,20,4.3137255,0.3921569,41,56,-0.1546,0.0296,1,-2,0,#N/A
220,21,4.3137255,0.4117647,43,61,-0.1731,0.0185,-2,-5,0,#N/A
220,22,4.3137255,0.4313725,47,73,-0.2167,0.0436,-4,-12,0,#N/A
220,23,4.3137255,0.4509804,51,65,-0.1207,-0.096,-4,8,0,#N/A
220,24,4.3137255,0.4705882,54,48,0.0588,-0.1795,-3,17,0,#N/A
